Pangu_Event,Is_Top_Match_Itself,1st_Match_ERA5,1st_Sim_Score,2nd_Match_ERA5,2nd_Sim_Score,3rd_Match_ERA5,3rd_Sim_Score
FL_2018_000144_PRK,True,FL_2018_000144_PRK,0.80221367,TC_2012_000159_PRK,0.66565216,FL_2002_000478_PRK,0.591446
FL_2018_000194_TTO,False,FL_2022_000374_TTO,0.7330525,FL_2018_000194_TTO,0.6095062,FL_2000_000255_ARG,0.5578685
FL_2021_000123_CAF,False,FL_2017_000134_CAF,0.5665442,FL_2021_000123_CAF,0.56408817,ST_2011_000073_CAF,0.5505237
FL_2021_000057_LKA,True,FL_2021_000057_LKA,0.9137062,FF_2009_000246_LKA,0.7500483,FF_2009_000160_LKA,0.71561134
FL_2020_000126_ETH,True,FL_2020_000126_ETH,0.89691347,FF_2012_000081_ETH,0.8657974,FL_2015_000161_ETH,0.84279525
FF_2021_000198_COG,True,FF_2021_000198_COG,0.61173177,FL_1998_000179_RUS,0.6029797,FL_2006_000172_COG,0.579894
FL_2021_000023_DZA,True,FL_2021_000023_DZA,0.7979499,FL_2002_000540_DZA,0.5469459,FF_2008_000178_DZA,0.5020549
FL_2020_000029_TZA,True,FL_2020_000029_TZA,0.79270786,FL_2020_000125_TZA,0.685628,FL_2014_000053_TZA,0.6482127
FL_2021_000096_PAN,True,FL_2021_000096_PAN,0.8742608,FL_2012_000198_PAN,0.8084868,FL_2009_000240_PAN,0.7902906
FL_2021_000110_YEM,True,FL_2021_000110_YEM,0.8463701,FL_2013_000103_YEM,0.7255013,FF_2019_000054_YEM,0.6586306
FF_2020_000153_BIH,True,FF_2020_000153_BIH,0.8890792,FL_2009_000044_BIH,0.66495097,FF_2010_000094_HUN,0.5806479
FF_2018_000042_ETH,True,FF_2018_000042_ETH,0.92869294,FL_2020_000126_ETH,0.84030014,FF_2012_000081_ETH,0.8354381
FL_2022_000378_BIH,True,FL_2022_000378_BIH,0.8678366,FL_2001_000620_DZA,0.518907,FL_2005_000048_AFG,0.5165035
FL_2019_000170_RWA,True,FL_2019_000170_RWA,0.90223646,FL_2007_000159_RWA,0.866843,FL_2021_000049_RWA,0.8204237
FL_2019_000120_PHL,False,TC_2011_000189_PHL,0.67812717,FL_2019_000120_PHL,0.67345077,FF_2008_000233_PHL,0.6567079
ST_2022_000138_MDG,True,ST_2022_000138_MDG,0.8584846,FL_2005_000038_MDG,0.6690046,FL_2003_000037_MDG,0.5822111
FL_2020_000196_NGA,True,FL_2020_000196_NGA,0.7474712,FL_2007_000123_NGA,0.742296,FL_2017_000126_NGA,0.7390791
FL_2019_000098_CAF,True,FL_2019_000098_CAF,0.7309811,FL_2022_000321_CAF,0.61855924,ST_2011_000073_CAF,0.59038377
FL_2021_000055_TJK,False,FF_2011_000066_TJK,0.8695067,FL_2019_000058_TJK,0.8465925,FL_2021_000055_TJK,0.81888115
FL_2022_000271_NGA,False,FL_2007_000123_NGA,0.87319994,FL_2022_000271_NGA,0.8322239,FL_2019_000093_NGA,0.7343557
FL_2021_000039_BDI,True,FL_2021_000039_BDI,0.9054861,FL_2020_000054_BDI,0.8408928,FL_2018_000054_BDI,0.8150419
FL_2019_000034_BOL,False,FL_2003_000012_BOL,0.8374189,FL_2011_000020_BOL,0.8364247,FL_2009_000045_BOL,0.83127296
FL_2022_000379_MYS,False,FL_2002_000402_BGD,0.49653172,FL_2018_000419_PRY,0.45778358,FF_2006_000049_IDN,0.4457121
