subject,predicate,object
Marcel_Duchamp,wikiPageWikiLink,Metropolitan_Museum_of_Art
Marcel_Duchamp,wikiPageWikiLink,Philadelphia_Museum_of_Art
Marcel_Duchamp,wikiPageWikiLink,Postmodernism
Marcel_Duchamp,wikiPageWikiLink,Coffee_roasting
Marcel_Duchamp,wikiPageWikiLink,Marc_Allégret
Marcel_Duchamp,wikiPageWikiLink,Wolfgang_Paalen
Marcel_Duchamp,wikiPageWikiLink,Belle_da_Costa_Greene
Marcel_Duchamp,wikiPageWikiLink,Irene_Gammel
Marcel_Duchamp,wikiPageWikiLink,La_Maison_Cubiste
Marcel_Duchamp,wikiPageWikiLink,Académie_Julian
Marcel_Duchamp,wikiPageWikiLink,Assemblage_(art)
Marcel_Duchamp,wikiPageWikiLink,Bobby_Fischer
Marcel_Duchamp,wikiPageWikiLink,Endgame_(play)
Marcel_Duchamp,wikiPageWikiLink,Man_Ray
Marcel_Duchamp,wikiPageWikiLink,Marble
Marcel_Duchamp,wikiPageWikiLink,Paul_Cézanne
Marcel_Duchamp,wikiPageWikiLink,Shock_art
Marcel_Duchamp,wikiPageWikiLink,Henri_Poincaré
Marcel_Duchamp,wikiPageWikiLink,Alexander_Calder
Marcel_Duchamp,wikiPageWikiLink,Bird_in_Space
Marcel_Duchamp,wikiPageWikiLink,Constantin_Brâncuși
Marcel_Duchamp,wikiPageWikiLink,Fernand_Léger
Marcel_Duchamp,wikiPageWikiLink,Jasper_Johns
